Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
37596,1.04,0.02,0.11,29.14,1.11,0.66,0.80
37700,1.03,0.01,0.07,29.09,1.27,1.69,0.92
37805,1.04,0.02,0.11,29.19,1.58,0.34,1.08
37909,1.03,0.01,0.09,29.09,1.36,1.42,0.81
38013,1.04,0.01,0.09,29.14,1.27,0.78,0.96
38118,1.04,0.01,0.10,29.14,1.28,0.95,0.69
38222,1.04,0.01,0.07,29.19,1.11,1.07,1.11
38327,1.03,0.01,0.11,29.00,1.25,0.42,0.89
38431,1.04,0.01,0.08,29.09,1.38,1.49,1.00
38537,1.03,0.01,0.11,29.09,1.25,0.50,1.05
38641,1.03,0.01,0.08,29.24,1.00,1.62,0.98
38746,1.04,0.02,0.11,29.14,1.29,0.27,0.95
38850,1.03,0.01,0.09,29.09,1.44,1.28,0.90
38955,1.04,0.02,0.09,29.19,1.50,0.44,1.17
39059,1.05,0.01,0.11,29.19,0.46,0.85,0.91
39163,1.04,0.01,0.07,29.14,1.45,0.92,1.10
39268,1.03,0.01,0.11,29.05,1.27,0.81,0.85
39372,1.04,0.01,0.09,29.05,1.35,1.29,0.97
39477,1.03,0.01,0.10,29.19,1.25,0.37,1.05
39582,1.04,0.01,0.08,29.19,1.23,1.55,0.89
39687,1.04,0.02,0.09,29.05,1.34,0.15,1.06
39791,1.04,0.01,0.10,29.09,1.16,1.60,0.80
39896,1.04,0.01,0.08,29.00,1.11,0.65,1.17
40000,1.03,0.01,0.11,29.19,1.07,1.08,0.96
40104,1.04,0.01,0.07,29.14,1.32,1.18,1.11
40209,1.04,0.02,0.11,29.14,1.40,0.34,0.91
40313,1.04,0.01,0.07,29.05,1.05,1.65,1.17
40418,1.04,0.01,0.11,29.14,1.36,0.42,1.03
40522,1.03,0.01,0.08,29.19,1.28,1.51,0.94
40628,1.04,0.02,0.10,29.19,1.41,0.25,1.02
40732,1.03,0.02,0.10,29.09,1.28,1.47,0.92
40837,1.04,0.01,0.08,29.05,1.37,0.75,1.11
40941,1.04,0.01,0.11,29.14,1.44,0.60,0.81
41046,1.03,0.01,0.07,29.14,1.27,1.37,1.12
41150,1.04,0.01,0.11,29.09,1.29,0.41,0.95
41254,1.03,0.01,0.08,29.09,1.24,1.38,0.78
41359,1.04,0.02,0.11,29.05,1.49,0.19,1.07
41463,1.03,0.01,0.09,29.14,1.31,1.45,0.82
41569,1.04,0.01,0.09,29.05,1.15,0.58,1.09
41673,1.03,0.01,0.11,29.09,1.32,1.08,0.79
41778,1.03,0.01,0.08,29.09,1.13,1.01,1.15
41882,1.04,0.01,0.11,29.14,1.22,0.96,0.83
41987,1.03,0.01,0.07,29.19,1.32,1.44,1.06
42091,1.04,0.02,0.11,29.14,1.29,0.22,0.92
42195,1.04,0.01,0.09,29.05,1.37,1.55,0.98
42300,1.04,0.02,0.09,29.05,1.31,0.40,1.09
42404,1.03,0.01,0.10,29.24,1.24,1.57,0.96
42509,1.04,0.01,0.08,29.00,1.38,0.82,1.02
42614,1.03,0.01,0.12,29.09,1.39,1.16,0.80
42719,1.03,0.01,0.07,29.09,1.23,1.15,1.16
42823,1.03,0.02,0.10,29.00,1.18,0.61,1.06
42928,1.04,0.02,0.07,29.14,1.18,1.44,1.16
43032,1.04,0.02,0.12,29.14,1.37,-0.06,0.92
43137,1.03,0.01,0.09,29.09,1.35,1.47,0.99
43241,1.04,0.02,0.09,29.09,1.47,0.37,1.01
43345,1.04,0.01,0.10,29.09,1.14,1.45,0.98
43450,1.04,0.01,0.08,29.09,1.44,0.70,0.92
43554,1.03,0.01,0.11,29.09,1.37,0.89,0.86
43660,1.04,0.01,0.07,29.05,1.21,1.27,0.95
43764,1.03,0.01,0.11,29.05,1.32,0.51,0.83
43869,1.03,0.01,0.07,29.05,1.20,1.48,0.98
43973,1.03,0.01,0.11,29.09,1.47,0.07,0.88
44078,1.03,0.01,0.09,29.19,1.02,1.95,0.82
44182,1.04,0.01,0.08,29.05,1.30,0.70,1.18
44286,1.03,0.01,0.09,29.14,1.22,1.14,0.79
44391,1.04,0.01,0.07,29.05,1.39,0.82,1.00
44495,1.03,0.01,0.11,29.09,1.13,0.69,0.83
44600,1.03,0.01,0.07,29.09,1.33,1.32,0.92
44705,1.04,0.01,0.12,29.09,1.38,0.28,0.80
44810,1.04,0.01,0.08,29.09,1.40,1.53,1.06
44914,1.05,0.01,0.10,29.09,1.34,0.31,1.12
45019,1.04,0.02,0.10,29.05,1.18,1.52,0.92
45123,1.04,0.01,0.08,29.05,1.40,0.72,0.97
45228,1.03,0.01,0.11,29.14,1.27,0.82,0.97
45332,1.03,0.02,0.07,29.24,1.25,1.08,1.22
45436,1.03,0.01,0.12,29.05,1.17,0.66,0.98
45541,1.04,0.01,0.07,29.00,1.26,1.44,0.99
