Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
31645,0.36,-0.06,-0.88,27.87,1.10,1.01,0.73
31750,0.36,-0.06,-0.89,27.82,1.38,1.49,0.74
31854,0.35,-0.06,-0.89,27.97,1.64,1.56,0.73
31959,0.36,-0.06,-0.89,27.97,1.36,1.78,0.81
32063,0.36,-0.06,-0.90,27.92,1.34,1.89,0.85
32167,0.35,-0.05,-0.90,27.87,1.39,1.24,0.69
32273,0.36,-0.05,-0.89,27.82,1.33,1.37,0.77
32377,0.36,-0.06,-0.90,27.97,1.35,1.40,0.80
32482,0.36,-0.06,-0.89,27.92,1.39,0.96,0.85
32586,0.36,-0.06,-0.89,27.97,1.32,1.45,0.79
32691,0.35,-0.06,-0.89,27.87,1.26,1.16,0.74
32795,0.36,-0.06,-0.89,27.92,1.31,1.78,0.85
32900,0.36,-0.06,-0.90,28.06,1.34,1.39,0.85
33004,0.35,-0.05,-0.88,27.97,1.28,1.21,0.65
33110,0.35,-0.05,-0.89,28.01,1.35,1.48,0.92
33214,0.36,-0.06,-0.89,27.87,1.39,1.44,0.90
33318,0.35,-0.06,-0.89,27.92,1.34,1.60,0.72
33423,0.35,-0.05,-0.88,27.97,1.50,1.53,0.90
33527,0.36,-0.05,-0.88,27.97,1.44,1.87,0.73
33632,0.36,-0.06,-0.90,27.92,1.29,1.47,0.87
33736,0.36,-0.06,-0.89,27.87,1.21,0.74,0.82
33841,0.35,-0.06,-0.89,27.92,1.31,1.42,0.79
33946,0.36,-0.06,-0.89,27.97,1.18,1.37,0.83
34051,0.36,-0.05,-0.91,27.97,1.31,1.45,0.83
34155,0.37,-0.06,-0.89,27.97,1.22,1.21,0.88
34259,0.35,-0.06,-0.89,27.97,1.31,0.98,0.66
34364,0.36,-0.05,-0.90,28.01,1.36,1.43,0.69
34468,0.36,-0.06,-0.89,27.97,1.34,1.78,0.79
34573,0.35,-0.06,-0.89,27.92,1.40,1.56,0.78
34677,0.36,-0.06,-0.90,28.06,1.24,1.08,0.81
34783,0.36,-0.06,-0.89,28.01,1.32,1.49,0.79
34887,0.35,-0.06,-0.89,27.97,1.47,1.61,0.67
34992,0.36,-0.06,-0.90,28.01,1.52,1.43,0.85
35096,0.35,-0.06,-0.90,28.06,1.32,1.40,0.87
35201,0.35,-0.06,-0.88,28.06,1.24,1.34,0.82
35305,0.36,-0.06,-0.89,28.11,1.49,1.39,0.82
35409,0.36,-0.06,-0.89,28.06,1.35,1.68,1.01
35514,0.35,-0.06,-0.88,28.01,1.27,0.61,0.76
35618,0.36,-0.06,-0.89,27.97,1.13,1.59,0.89
35724,0.35,-0.06,-0.90,28.01,1.47,1.95,0.85
35828,0.36,-0.06,-0.89,28.06,1.35,1.29,0.85
35933,0.36,-0.06,-0.89,28.06,1.37,1.64,0.89
36037,0.36,-0.06,-0.90,28.01,1.37,1.46,0.88
36142,0.36,-0.05,-0.89,27.97,1.39,1.40,0.89
36246,0.35,-0.06,-0.91,28.01,1.40,1.73,0.79
36350,0.35,-0.06,-0.89,28.06,1.31,1.61,0.82
36455,0.36,-0.05,-0.90,28.06,1.37,1.15,0.89
36560,0.36,-0.05,-0.89,27.97,1.36,1.75,0.95
36665,0.36,-0.06,-0.89,28.11,1.41,1.08,0.89
36769,0.36,-0.06,-0.89,28.06,1.31,0.86,0.84
36874,0.36,-0.06,-0.89,28.06,1.33,1.51,0.93
36978,0.35,-0.06,-0.90,28.11,1.29,1.16,0.83
37083,0.35,-0.06,-0.90,28.01,1.36,1.53,0.69
37187,0.36,-0.05,-0.89,28.01,1.40,1.49,0.82
37292,0.36,-0.05,-0.91,28.15,1.44,1.45,0.76
37397,0.36,-0.06,-0.90,28.06,1.05,1.36,0.95
37501,0.36,-0.05,-0.89,28.15,1.25,1.55,0.78
37606,0.36,-0.06,-0.89,28.11,1.25,1.69,0.82
37710,0.36,-0.05,-0.90,28.06,1.23,1.72,0.83
37815,0.36,-0.06,-0.90,28.01,1.21,1.61,0.80
37919,0.36,-0.05,-0.88,28.15,1.12,1.34,0.76
38024,0.35,-0.06,-0.89,28.01,1.27,1.43,0.93
38128,0.36,-0.05,-0.89,28.06,1.24,1.18,0.89
38234,0.35,-0.06,-0.90,28.11,1.27,1.65,0.94
38338,0.35,-0.06,-0.89,28.06,1.31,1.12,0.85
38443,0.36,-0.06,-0.90,28.01,1.20,1.57,0.79
