Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
40317,0.07,-0.00,0.96,28.95,1.39,1.17,1.13
40422,0.08,0.01,0.95,29.00,1.24,1.09,0.88
40526,0.08,0.00,0.95,29.05,1.34,1.12,0.98
40631,0.08,0.00,0.95,28.91,1.24,0.97,1.00
40735,0.08,0.00,0.94,28.95,1.42,0.95,0.95
40840,0.07,0.01,0.96,29.09,1.20,1.00,0.99
40944,0.08,0.00,0.95,28.95,1.34,0.85,0.98
41049,0.07,0.01,0.96,28.91,1.32,1.07,0.95
41154,0.07,0.00,0.95,28.91,1.32,0.98,1.05
41259,0.08,0.01,0.95,28.95,1.31,1.00,0.95
41363,0.07,0.00,0.95,28.91,1.32,1.02,1.02
41467,0.08,0.01,0.95,28.86,1.38,0.95,1.00
41572,0.08,0.01,0.95,28.91,1.34,1.17,0.95
41676,0.08,0.00,0.95,28.81,1.34,0.97,1.18
41781,0.07,0.01,0.95,28.91,1.39,0.98,0.82
41885,0.08,0.01,0.95,28.86,1.36,1.05,0.97
41990,0.08,0.01,0.96,28.91,1.34,0.91,1.00
42095,0.08,0.01,0.94,28.91,1.25,1.04,1.07
42200,0.08,-0.00,0.96,28.86,1.33,1.08,1.06
42304,0.08,0.01,0.93,28.91,1.21,0.89,1.06
42408,0.08,0.01,0.95,28.86,1.31,0.94,1.02
42513,0.07,0.01,0.95,28.91,1.34,0.91,0.88
42617,0.07,0.00,0.94,28.81,1.23,1.03,0.82
42722,0.08,0.01,0.96,28.91,1.44,0.88,0.92
42826,0.07,0.01,0.96,28.91,1.33,1.01,0.96
42931,0.08,0.01,0.95,28.91,1.46,0.83,0.90
43035,0.08,0.00,0.94,28.91,1.40,0.92,0.94
43141,0.07,0.01,0.95,28.81,1.31,0.99,1.15
43245,0.08,0.00,0.94,28.91,1.27,0.98,0.89
43350,0.07,0.00,0.95,28.77,1.29,0.86,0.95
43454,0.08,0.00,0.95,28.91,1.34,0.74,1.01
43558,0.08,0.00,0.95,28.95,1.24,0.96,1.09
43663,0.07,0.01,0.96,28.86,1.27,1.03,1.05
43767,0.08,0.01,0.95,28.91,1.40,1.02,1.04
43872,0.07,0.00,0.95,28.86,1.27,0.94,0.95
43976,0.08,0.00,0.95,28.91,1.32,0.92,1.15
44081,0.08,0.00,0.96,28.91,1.46,1.12,1.01
44186,0.07,0.01,0.95,28.95,1.30,0.98,1.01
44291,0.07,0.01,0.96,28.86,1.34,1.07,1.16
44395,0.08,0.01,0.96,28.81,1.39,1.14,1.10
44499,0.08,-0.00,0.96,28.91,1.35,1.00,1.05
44604,0.08,0.01,0.97,28.91,1.52,1.02,1.11
44708,0.08,0.01,0.95,28.77,1.41,0.93,1.14
44813,0.08,0.00,0.96,28.95,1.34,0.97,1.05
44917,0.08,0.01,0.95,28.86,1.47,1.03,0.91
45022,0.08,0.01,0.95,28.86,1.26,1.19,1.04
45127,0.08,0.00,0.95,28.86,1.44,1.01,0.99
45232,0.08,0.00,0.95,28.81,1.27,0.98,1.00
45336,0.07,0.00,0.96,28.86,1.34,1.02,0.85
45441,0.08,0.00,0.94,28.91,1.31,1.04,0.81
45545,0.08,0.01,0.95,28.81,1.31,1.05,0.82
45649,0.08,0.01,0.95,28.95,1.35,0.82,0.93
45754,0.07,0.00,0.95,28.86,1.50,0.84,0.96
45858,0.07,0.01,0.94,28.91,1.47,0.98,1.12
45963,0.07,0.01,0.94,28.91,1.40,1.05,1.05
46068,0.08,0.01,0.95,28.86,1.37,1.07,1.05
46173,0.08,0.01,0.94,28.86,1.31,0.94,1.00
