Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ 
42929,0.02,1.00,0.08,29.38,1.59,0.79,1.12
43033,0.01,0.99,-0.04,29.38,0.46,1.07,0.85
43138,0.02,0.99,0.09,29.28,2.01,1.35,0.91
43243,0.02,1.00,0.01,29.28,0.19,0.56,0.95
43347,0.03,0.99,0.08,29.33,2.33,1.21,0.68
43452,0.02,1.01,0.07,29.38,0.66,0.57,1.15
43556,0.02,0.99,0.01,29.33,1.83,1.23,0.98
43661,0.02,1.00,0.11,29.38,1.39,0.98,0.95
43765,0.01,0.99,-0.03,29.38,0.98,1.20,0.63
43870,0.02,0.99,0.11,29.42,1.57,0.99,0.93
43974,0.01,1.00,-0.03,29.38,0.50,0.72,0.98
44079,0.03,1.00,0.10,29.38,1.92,1.45,1.00
44183,0.02,1.00,-0.01,29.33,0.27,0.18,0.97
44289,0.04,1.00,0.07,29.38,2.08,1.44,0.78
44393,0.02,1.00,0.05,29.38,0.95,0.24,1.08
44497,0.02,1.00,0.01,29.24,1.49,1.47,0.74
44602,0.02,1.00,0.11,29.47,1.54,0.80,0.80
44706,0.02,0.99,-0.02,29.28,0.83,1.19,1.00
44811,0.01,1.00,0.10,29.33,1.91,1.23,0.85
44915,0.02,1.00,-0.00,29.38,0.39,0.44,1.11
45020,0.03,1.00,0.07,29.38,2.19,1.52,1.00
45124,0.02,1.01,0.06,29.33,0.64,0.37,1.20
45229,0.03,0.99,0.06,29.47,1.76,1.85,0.82
45334,0.02,1.01,0.07,29.28,1.22,0.73,1.16
45438,0.02,0.99,-0.01,29.33,1.30,1.47,0.84
45543,0.01,1.00,0.10,29.38,1.55,0.84,1.11
45647,0.01,0.99,-0.02,29.38,0.49,0.73,1.02
45752,0.02,1.00,0.10,29.33,2.00,1.74,1.02
45856,0.02,1.00,0.01,29.38,-0.01,0.47,1.02
45961,0.02,1.00,0.09,29.33,2.20,1.24,1.02
